date,open,high,low,close
2018-02-28,10705.81,10875.71,10656.36,10828.73
2018-03-01,10754.62,10943.13,10732.93,10943.13
2018-03-02,10857.87,10947.39,10840.01,10856.25
2018-03-05,10882.87,10913.03,10813.47,10875.68
2018-03-06,10909.28,11007.95,10873.85,11007.95
2018-03-07,10993.95,11031.48,10897.58,10904.99
2018-03-08,10902.35,11019.08,10892.18,11019.08
2018-03-09,11040.37,11203.72,11030.55,11194.91
2018-03-12,11266.32,11328.77,11260.46,11326.27
2018-03-13,11311.04,11335.3,11236.38,11241.41
2018-03-14,11198.77,11242.3,11138.39,11139.63
2018-03-15,11100.53,11195.94,11051.62,11163.65
2018-03-16,11166.43,11192.36,11051.12,11051.12
2018-03-19,11046.03,11120.75,10994.68,11068.49
2018-03-20,10982.73,11082.03,10951.99,11077.8
2018-03-21,11100.91,11170.56,10973.58,10980.55
2018-03-22,10988.83,11035.58,10858.44,10877.25
2018-03-23,10511.16,10664.93,10256.5,10439.99
2018-03-26,10303.75,10564.38,10217.22,10564.38
2018-03-27,10683.16,10799.37,10675.5,10775.71
2018-03-28,10633.7,10768.48,10613.06,10630.69
2018-03-29,10676.56,10778.8,10564.29,10755.92
2018-03-30,10776.71,10883.05,10766.53,10868.65
2018-04-02,10887.47,10950.22,10835.71,10852.95
2018-04-03,10718.43,10783.93,10667.33,10754.29
2018-04-04,10778.86,10829.82,10678.94,10684.56
2018-04-09,10655.07,10725.11,10571.16,10653.38
2018-04-10,10671.69,10765.62,10628.24,10765.62
2018-04-11,10796.5,10856.44,10786.84,10808.37
2018-04-12,10797.35,10825.66,10720.83,10726.95
2018-04-13,10789.77,10825.67,10670.65,10687.02
2018-04-16,10660.69,10704.39,10540.69,10621.79
2018-04-17,10636.88,10669.15,10390.05,10395.16
2018-04-18,10477.52,10514.74,10249.87,10491.15
2018-04-19,10502.36,10646.7,10485.41,10598.35
2018-04-20,10571.99,10619.17,10392.69,10408.91
2018-04-23,10416.78,10471.21,10228.09,10330.63
2018-04-24,10325.51,10556.82,10325.51,10556.82
2018-04-25,10503.94,10579.18,10488.87,10547.1
2018-04-26,10495.03,10508.01,10290.37,10292.12
2018-04-27,10353.02,10382.77,10239.97,10324.47
2018-05-02,10356.19,10433.28,10283.52,10342.85
2018-05-03,10329.16,10459.39,10228.26,10458.62
2018-05-04,10428.85,10490.06,10411.83,10426.19
2018-05-07,10456.43,10626.51,10450.49,10626.51
2018-05-08,10632.11,10721.98,10630.58,10707.8
2018-05-09,10693.22,10705.15,10639.92,10689.07
2018-05-10,10706.73,10742.64,10651.87,10729.77
2018-05-11,10748.89,10752.82,10634.23,10634.3
2018-05-14,10649.11,10723.79,10641.29,10671.46
2018-05-15,10692.82,10747.99,10632.55,10747.99
2018-05-16,10713.59,10776.43,10691.14,10701.32
2018-05-17,10702.07,10713.71,10615.92,10635.5
2018-05-18,10623.91,10679.51,10557.75,10672.52
2018-05-21,10741.19,10789.76,10731.61,10765.35
2018-05-22,10754.7,10765.81,10689.51,10765.81
2018-05-23,10746.82,10746.82,10631.12,10631.12
2018-05-24,10632.5,10657.45,10552.35,10564.13
2018-05-25,10550.63,10576.81,10435.95,10448.22
2018-05-28,10439.65,10536.57,10382.72,10465.54
2018-05-29,10446.99,10517.14,10347.94,10349.07
2018-05-30,10203.66,10252.15,10097.48,10105.79
2018-05-31,10178.96,10295.73,10115.66,10295.73
2018-06-01,10247.16,10280.74,10122.99,10169.35
2018-06-04,10192.04,10237.6,10148.69,10204.32
2018-06-05,10216.63,10385.61,10216.02,10385.61
2018-06-06,10375.26,10403.93,10337.71,10365.13
2018-06-07,10397.65,10411.56,10308.06,10313.85
2018-06-08,10290.63,10291.9,10136.58,10205.52
2018-06-11,10191.31,10242.76,10141.27,10175.35
2018-06-12,10187.31,10323.0,10124.98,10315.28
2018-06-13,10280.08,10288.0,10161.39,10161.65
2018-06-14,10124.76,10213.79,10054.37,10084.18
2018-06-15,10077.43,10108.53,9902.63,9943.13
2018-06-19,9775.97,9815.01,9336.7,9414.76
2018-06-20,9367.74,9549.53,9310.19,9501.34
2018-06-21,9493.5,9573.49,9313.09,9316.68
2018-06-22,9247.02,9416.09,9172.3,9409.95
2018-06-25,9472.91,9494.44,9320.66,9324.83
2018-06-26,9201.0,9364.51,9175.39,9339.37
2018-06-27,9338.01,9378.08,9139.82,9168.66
2018-06-28,9130.52,9230.89,9065.2,9071.73
2018-06-29,9100.6,9381.02,9078.24,9379.47
2018-07-02,9369.24,9393.1,9107.55,9179.8
2018-07-03,9184.31,9233.02,8945.42,9221.54
2018-07-04,9182.96,9200.27,9008.09,9035.49
2018-07-05,9036.12,9096.54,8844.67,8862.18
2018-07-06,8873.9,9035.45,8736.36,8911.34
2018-07-09,8954.31,9160.62,8954.31,9160.62
2018-07-10,9176.29,9213.87,9123.22,9205.43
2018-07-11,9024.72,9092.88,8916.98,9023.82
2018-07-12,9019.96,9312.37,9019.96,9273.61
2018-07-13,9288.47,9344.65,9270.2,9326.97
2018-07-16,9322.97,9366.21,9278.07,9317.36
2018-07-17,9307.66,9307.66,9175.66,9285.16
2018-07-18,9293.2,9335.09,9195.24,9195.24
2018-07-19,9214.9,9266.93,9116.45,9148.78
2018-07-20,9141.51,9277.95,9055.86,9251.48
2018-07-23,9188.47,9314.3,9160.05,9314.3
2018-07-24,9316.65,9491.24,9313.17,9465.8
2018-07-25,9475.72,9514.94,9436.99,9463.76
2018-07-26,9467.56,9488.39,9331.45,9352.25
2018-07-27,9344.75,9363.17,9270.35,9295.93
2018-07-30,9289.36,9309.44,9139.74,9181.94
2018-07-31,9168.83,9216.73,9132.08,9178.78
2018-08-01,9205.75,9235.74,9005.37,9005.37
2018-08-02,8971.71,8971.71,8613.84,8780.56
2018-08-03,8767.56,8807.95,8602.12,8602.12
2018-08-06,8582.43,8638.37,8374.4,8422.84
2018-08-07,8453.55,8674.03,8379.7,8674.03
2018-08-08,8654.55,8665.39,8498.21,8499.22
2018-08-09,8475.79,8797.58,8460.43,8752.2
2018-08-10,8752.94,8839.29,8742.4,8813.49
2018-08-13,8712.12,8855.62,8676.21,8844.86
2018-08-14,8832.27,8843.57,8752.76,8784.9
2018-08-15,8786.35,8786.35,8567.23,8581.18
2018-08-16,8470.91,8628.91,8408.0,8500.42
2018-08-17,8573.57,8597.79,8341.1,8357.04
2018-08-20,8355.0,8414.15,8241.14,8414.15
2018-08-21,8419.79,8561.79,8396.58,8549.06
2018-08-22,8533.43,8533.43,8440.58,8454.75
2018-08-23,8446.98,8543.42,8411.74,8501.39
2018-08-24,8480.22,8544.25,8438.08,8484.74
2018-08-27,8511.37,8728.56,8511.37,8728.56
2018-08-28,8731.64,8758.71,8693.52,8733.75
2018-08-29,8716.82,8724.81,8649.73,8678.26
2018-08-30,8666.9,8701.04,8543.79,8552.8
2018-08-31,8509.27,8536.06,8425.35,8465.47
2018-09-03,8440.95,8459.95,8344.93,8455.55
2018-09-04,8454.14,8573.2,8420.88,8554.44
2018-09-05,8519.57,8536.84,8402.51,8402.51
2018-09-06,8369.3,8450.89,8295.48,8324.16
2018-09-07,8344.57,8462.39,8270.4,8322.36
2018-09-10,8310.46,8311.91,8155.35,8158.49
2018-09-11,8155.95,8216.62,8112.0,8168.1
2018-09-12,8162.17,8196.86,8095.01,8111.16
2018-09-13,8196.21,8227.2,8038.12,8163.76
2018-09-14,8173.56,8180.7,8090.4,8113.88
2018-09-17,8068.06,8074.79,7977.44,7999.35
2018-09-18,7970.45,8133.9,7958.52,8133.22
2018-09-19,8111.24,8313.62,8097.23,8248.12
2018-09-20,8241.7,8295.13,8218.38,8233.89
2018-09-21,8258.02,8419.47,8216.68,8409.18
2018-09-25,8336.75,8390.65,8311.93,8353.38
2018-09-26,8369.52,8485.68,8344.72,8420.54
